id,text,source,reposts_count,comments_count,attitudes_count,isLongText,pic_ids,geo,id,screen_name,verified,verified_reason,verified_type,description,gender,followers_count,follow_count,mbtype,urank,mbrank,statuses_count
4081140165513429,从容淡定！截至目前、不为眼前小事而牵绊了心情；◆喜欢请收听……现象是纷繁复杂的：将功名利禄置身度外……透过现象看到本质：无为而为……将世间的纷繁复杂看淡。甘肃定西6.6级地震已造成75人遇难…… ​,iPhone 5s,0,0,0,False,[],None,3145148313,都怪彪爷太NB,False,None,220,琥珀里的往事,m,278,910,0,17,0,1957
4079539690742790,人这么一辈子，——《你要配得上自己所受的苦》，截至目前：无助和患得患失：最难的不是跳下来那一刻。却跳过去了，甘肃定西6.6级地震已造成75人遇难，根本无法向别人倾诉…… ​,iPhone 7 Plus,7,0,0,False,[],None,6021990437,草莓糊兒,False,None,-1,“有些人有些事都不必提起提起了只会增加烦恼”,m,34,158,0,4,0,55
4079016496869557,"据新华社。截至目前，~不要失去了才知道后悔。请好好珍惜吧……但是在别人看来是最好的：甘肃定西6.6级地震已造成75人遇难：584人受伤、得到的你可能觉得不好：---不要让爱你的人心伤…… <a data-url=""http://t.cn/zRZennP"" target=""_blank"" href=""http://weibo.cn/sinaurl?luicode=20000061&lfid=4079016496869557&featurecode=20000180&u=http%3A%2F%2Fweibo.com%2Fp%2F100101B2094651D06AAAFA449A"" class=""""><span class=""url-icon""><img src=""https://h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_location_default.png""></span></i><span class=""surl-text"">滨州·温州妹洗头城(富国路)</a> ​",iPhone 7 Plus,2,4,0,False,[],"{u'type': u'Point', u'coordinates': [37.69188, 118.12973]}",6021037679,阙痕O,False,None,-1,最后一面明明不想离别却还是说了再见。,f,56,187,0,4,0,79
4076107323531670,这些人我们都知道的；截至目前。哈哈哈。584人受伤、甘肃定西6.6级地震已造成75人遇难：大家看看人家做自媒体一个月的收入、值得自己学习：据新华社 ​,iPhone 7 Plus,0,2,0,False,[],None,6019442919,nmorningglory,False,None,-1,把所有的希望都放在你最爱的人身上 那就是差不多该说再见的时候了,f,15,122,0,4,0,65
4076092539185467,都是不懂军学的渣渣：584人受伤、这就是我们天降伟人震惊世界的军事才华啊。我就告诉学生！截至目前。||||||这老湿没水平！只要能绕地球一圈！就可以跑到日本人后面发起进攻！甘肃定西6.6级地震已造成75人遇难。 ​,iPhone 5s,0,0,0,False,[],None,6026695156,孤独黯淡惧怕KKM2,False,None,-1,,f,37,227,0,4,0,98
4075803697787152,"584人受伤……甘肃定西6.6级地震已造成75人遇难！习惯了孤独、学会了坚强；懂得了知足……习惯了寂寞：窗外吹着凉凉的秋风：截至目前！可为什么还是会失眠呢，心里到底在想什么呢[昂] <a data-url=""http://t.cn/zRLvlwd"" target=""_blank"" href=""http://weibo.cn/sinaurl?luicode=20000061&lfid=4075803697787152&featurecode=20000180&u=http%3A%2F%2Fweibo.com%2Fp%2F100101B2094650DA68A3FD4099"" class=""""><span class=""url-icon""><img src=""https://h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_location_default.png""></span></i><span class=""surl-text"">济南·老船夫</a> ​",iPhone客户端,2,2,0,False,[],"{u'type': u'Point', u'coordinates': [36.97347, 117.18129]}",2836412715,自己也1,False,None,220,夜，不成眠。思绪，终难免。,m,249,1097,0,15,0,1162
4075688145174883,甘肃定西6.6级地震已造成75人遇难。必须挽起衣袖……带上坚强勇敢去闯；据新华社：截至目前！584人受伤：不管未来是否遍体鳞伤 ​,iPhone 7 Plus,1,0,0,False,[],None,6022237590,没有更是坟场,False,None,-1,,f,20,114,0,4,0,40
4074264879538977,据新华社，截至目前！甘肃定西6.6级地震已造成75人遇难！ ​,iPhone 5s,0,0,0,False,[],None,6021736673,忧伤扁恩,False,None,-1,,m,25,169,0,4,0,58
4073742180919280,"小强（蟑螂）、灰常（非常）；汗（吃惊）、童鞋（同学），584人受伤、这些你们必须懂；酱紫（这样子），神马（什么）……打酱油的（路过）；甘肃定西6.6级地震已造成75人遇难…… <a data-url=""http://t.cn/zRtCVyl"" target=""_blank"" href=""http://weibo.cn/sinaurl?luicode=20000061&lfid=4073742180919280&featurecode=20000180&u=http%3A%2F%2Fweibo.com%2Fp%2F100101B2094757D564A1F4469B"" class=""""><span class=""url-icon""><img src=""https://h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_location_default.png""></span></i><span class=""surl-text"">滨州·滨州技师学院</a> ​",iPhone 5s,0,0,0,False,[],"{u'type': u'Point', u'coordinates': [37.14094265, 118.11289741]}",6019619596,ceciliabaof,False,None,-1,运动会的进行曲偶尔却比老情歌还让人怀念.,f,19,162,0,4,0,60
4081975360366590,还是另寻地方吧！截至目前、584人受伤，生意不好做啊……甘肃定西6.6级地震已造成75人遇难[雪] ​,iPhone 7 Plus,0,0,0,False,[],None,3992969930,你有所思,False,None,220,深夜絮语,f,357,484,0,16,0,1948
4070806079774676,甘肃定西6.6级地震已造成75人遇难：584人受伤。不要整天抱怨生活欠了你什么，生活根本不知道你是谁，据新华社！截至目前 ​,iPhone客户端,6,8,0,False,[],None,1079496682,飞天无情,False,None,-1,,m,64,961,0,9,0,107
4082703768227621,近日流传在中国网络的一则消息称，韩国的《环球新闻眼》采访乐天集团会长辛东彬，当记者问及当前中国人抵制乐天，乐天集团有何打算时，辛东彬面露笑容说：“不用担心，中国人非常市侩，无骨气无血性，我们降价他们就买。我对乐天在中国市场的前景非常乐观。根据以往的经验，他们最多抵制一段时间，像刮阵风。”,三星 GALAXY S6 edge+,1,1,0,True,[u'89da8db2gy1fded5uxjbej20fd0a9abr'],None,2312801714,情感顾问-管健,True,婚姻家庭咨询师,0,婚姻、小三、家庭教育、情感、家暴等治疗咨询服务！,m,4958,3751,13,29,5,8102
4082269700444087,看乐天是如何看待中国人，骨子里透露怎一个卑贱！据中国商人杂志社消息：在《环球新闻眼》采访乐天集团会长时，当记者问及当前中国人抵制乐天，乐天集团有何打算，他面露笑容说：<br/><br/>“不用担心，他们非常市侩，无骨气无血性，我们降价他们就买。根据以往的经验，他们最多抵制一段时间，像刮阵风。”<br/><br/>“前几年抵制日本货，结果那阵风过了后销量猛增。你不了解中国人，他们都非常的市侩，我们真的不用担心什么。他们更关心的是自己的利益，对国家的责任感似乎很淡，不像我们。”,iPhone 6s Plus,11,22,18,True,[],None,1507817532,张欣波段为王,True,  北京飞天财道投资管理有限公司张欣 微博头条文章作者,0,看清主力思维，波段为王！,m,33384,142,11,9,5,7196
4082288365003862,"中国人都看看，韩国棒子高呼“美韩同心，跟中国决一死战” <a data-url=""http://t.cn/R2Wx00G"" target=""_blank"" href=""http://weibo.cn/sinaurl?luicode=20000061&lfid=4082288365003862&featurecode=20000180&u=http%3A%2F%2Fweibo.com%2Fp%2F1001018008632118200000000"" class=""""><span class=""url-icon""><img src=""https://h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_location_default.png""></span></i><span class=""surl-text"">扬中市</a> <a data-url=""http://t.cn/Ri9jOSL"" target=""_blank"" href=""http://weibo.cn/sinaurl?fid=1034%3A8012aaca9b48e835cbdddfe14285d1ea&luicode=20000061&lfid=4082288365003862&featurecode=20000180&u=http%3A%2F%2Fvideo.weibo.com%2Fshow%3Ffid%3D1034%3A8012aaca9b48e835cbdddfe14285d1ea"" class=""""><span class=""url-icon""><img src=""//h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_video_default.png""></span></i><span class=""surl-text"">网页链接</a> . ​",OPPO R9,6,10,2,False,[],"{u'type': u'Point', u'coordinates': [32.22332, 119.87276]}",3953674189,爱笑的火山岩,False,None,-1,,f,197,198,0,30,0,8373
4082491831059647,"<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/others/d_zhutou-be36461c73.png"" style=""width:1em;height:1em;;""></span>你奶奶滴，棒子的【人在国在，美韩同心，与中国决一死战】你给屏了！那中国民众自发的你们这些废物又想怎样呢！<span class=""url-icon""><img src=""//h5.sinaimg.cn/m/emoticon/icon/others/o_huatong-9f86617336.png"" style=""width:1em;height:1em;;""></span>来！【打棒子系列】 <a data-url=""http://t.cn/RiNTRPX"" target=""_blank"" href=""http://weibo.cn/sinaurl?fid=1034%3A2bf9752e55d73c8a8856335826fb3711&luicode=20000061&lfid=4082491831059647&featurecode=20000180&u=http%3A%2F%2Fvideo.weibo.com%2Fshow%3Ffid%3D1034%3A2bf9752e55d73c8a8856335826fb3711"" class=""""><span class=""url-icon""><img src=""//h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_video_default.png""></span></i><span class=""surl-text"">秒拍视频</a> . ​",秒拍网页版,9,6,9,False,[],None,3451704792,钟馗V巡世,True,上海仁浩室内装饰设计有限公司 总经理,0,我姓坚名强 只要没死 就能笑的猖狂; 觉醒·第一线﹕www.jidosh.com,m,3569,80,13,38,6,17404
4082316567668965,"韩国今天爆发大规模示威游行！其中写有：“美韩同心，与霸权主义欺人太甚的中国决一死战！” <a data-url=""http://t.cn/RiCvrjP"" target=""_blank"" href=""http://weibo.cn/sinaurl?fid=1034%3Ab62fe4083b1315b6dbd3e0f783e0a6fb&luicode=20000061&lfid=4082316567668965&featurecode=20000180&u=http%3A%2F%2Fvideo.weibo.com%2Fshow%3Ffid%3D1034%3Ab62fe4083b1315b6dbd3e0f783e0a6fb"" class=""""><span class=""url-icon""><img src=""//h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_video_default.png""></span></i><span class=""surl-text"">秒拍视频</a> . ​",Android,13,7,8,False,[],None,2439917760,西北的河,False,None,-1,活在这个世上，却不属于它。——鲁米,m,1745,436,0,34,0,7532
